"variable","mean","median","q025","q05","q10","q25","q75","q90","q95","q975","p_thresh"
"beta",0.733534970520796,0.733863456411068,0.633944269488413,0.651064380013036,0.670021139713843,0.70097486433909,0.76643452914572,0.79643047769355,0.81451341234919,0.8310531403754,0
"eta.1",1237.99971992235,1202.98953802337,734.131877238876,796.944608513714,875.056481897408,1021.27047450676,1417.20188805407,1644.15519805875,1798.54739775155,1935.1169228162,0.77529
"eta.2",1909.6597026509,1854.95187391928,1089.69282136747,1191.14583273628,1318.27172285909,1552.03737738686,2208.70049661867,2569.81452437269,2815.23216207434,3033.65503398106,0.98791
"eta.3",546.597208223704,531.693848296869,322.457762554556,352.734045216072,389.213307261981,453.248936196022,622.855747701636,721.671651585419,790.091213607422,857.649414418472,0.00579
"eta.4",1529.9490544971,1478.57263167997,786.629615298635,880.086526296491,991.451989849607,1208.47438377497,1796.44825975832,2128.27182163665,2355.04601631672,2568.83335505541,0.89576
"eta.5",1108.4800653368,1092.67513145327,774.863712794741,819.574151803261,875.46501906612,973.432330229303,1225.84327615908,1361.08030999384,1449.17082357086,1533.22471396415,0.69823
"eta.6",1011.7918336856,952.859598588321,483.197744801798,538.319688513856,608.344341799788,752.59878511464,1206.64392773894,1492.12879499639,1686.33218944637,1874.59645088941,0.44631
"eta.7",1370.02759326684,1295.22877341916,558.468248882002,643.165693146828,759.512943128361,986.31610340954,1673.07644078602,2073.90093844555,2345.68563182857,2604.6222719083,0.73956
"eta.8",1607.93071850248,1554.33056590497,875.371200986968,965.018859929288,1075.52464756245,1284.90539807326,1874.47576708391,2208.48991884657,2435.38471226241,2640.09163268196,0.93652
